manual_keys,index_column,en,cs,fr,de,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
clients.table.action.decline,,Decline client,Odmítnout klienta,Décliner le client,Klienten ablehnen,clients.table.action.decline,,,Decline client,,,,
clients.table.col.lastSession,,Last session,Poslední sezení,Dernière session,Letzte Sitzung,clients.table.col.lastSession,,,Last session,,,,
clients.table.col.nextSession,,Next session,Příští sezení,Prochaine session,Nächste Sitzung,clients.table.col.nextSession,,,Next session,,,,
clients.title,,Clients,Klienti,Clients,Kunden,clients.heading|clients.title|main-menu.items.clients,,,Clients,,,,
clients.title.count.badge,,"{count, plural, =0 {No Clients} =1 {# Client} other {# Clients}}",,,,clients.title.count.badge,,,"{count, plural, =0 {No Clients} =1 {# Client} other {# Clients}}",,,,
clients.upcoming.all-sessions,,All upcoming sessions,Všechna nadcházející sezení,Toutes les prochaines sessions,Alle kommenden Sitzungen,clients.upcoming.all-sessions,,,All upcoming sessions,,,,
clients.upcoming.decline-session.confirm.title,,Are you sure you want to decline session on {date} with {name} ({username})?,Opravdu chcete odmítnout sezení dne {date} s {name} ({username})?,Êtes-vous sûr de vouloir décliner la session du {date} avec {name} ({username}) ?,"Sind Sie sicher, dass Sie die Sitzung am {date} mit {name} ({username}) ablehnen möchten?",clients.upcoming.decline-session.confirm.title,,,Are you sure you want to decline session on {date} with {name} ({username})?,,,,
clients.upcoming.with-name,,Upcoming sessions with {name},Nadcházející sezení s {name},Sessions à venir avec {name},Kommende Sitzungen mit {name},clients.upcoming.with-name,,,Upcoming sessions with {name},,,,
coaches.aside.items.1.heading,,€100,€100,€100,€100,coaches.aside.items.1.heading,,,€100,,,,
coaches.coach.change-picked,,Change coach,Změnit kouče,Changer de coach,Coach wechseln,coaches.coach.change-picked,,,Change coach,,,,
coaches.coach.introduction-link,,Video introduction,Představení ve videu,Introduction vidéo,Videoeinführung,settings.profile.field.webLink,,,Video introduction,,,,
coaches.coach.pick,,Pick the Coach,Vyberte kouče,Choisissez le coach,Wählen Sie den Coach,coaches.coach.pick,,,Pick the Coach,,,,
coaches.coach.rate,,Rate,Hodnocení,Taux,Bewertung,coaches.coach.rate|coaches.filter.rate.label|settings.profile.field.rate,,,Rate,,,,
coaches.coach.show-more,,Show more,Zobrazit více,Afficher plus,Mehr anzeigen,coaches.coach.show-more,,,Show more,,,,
coaches.contact.success,,"Your message has been sent, coach will contact you as soon as possible","Vaše zpráva byla odeslána, kouč vás bude kontaktovat co nejdříve","Votre message a été envoyé, coach vous contactera dès que possible","Ihre Nachricht wurde gesendet, der Coach wird sich so bald wie möglich bei Ihnen melden",,Performed,Found,"Your message has been sent, coach will contact you as soon as possible","Your message has been sent, your coach will contact you as soon as possible",0.9491525423728814,coaches.contact.success,
coaches.filter.rate.label,,Rate,Hodnocení,Taux,Bewertung,coaches.coach.rate|coaches.filter.rate.label|settings.profile.field.rate,,,Rate,,,,
coaches.filter.rate.tooltip.credits-per-session,,{credits} credits per session,Kredity {credits} za sezení,Crédits {credits} par session,{credits} Credits pro Sitzung,coaches.filter.rate.tooltip.credits-per-session,,,{credits} credits per session,,,,
coaches.filter.rate.tooltip.info,,1 credit = 1 euro,1 kredit = 1 euro,1 crédit = 1 euro,1 Kredit = 1 Euro,coaches.filter.rate.tooltip.info,,,1 credit = 1 euro,,,,
dashboard.cards.sessions.title.filled,,My areas of development,Moje oblasti rozvoje,Mes domaines de développement,Meine Entwicklungsbereiche,dashboard.cards.sessions.title.filled,,,My areas of development,,,,
dashboard.rightmenu.today,,"Today, {date}","Dnes, {date}","Aujourd'hui, {date}","Heute, {date}",dashboard.rightmenu.today,,,"Today, {date}",,,,
dict.error.already.existing.message,,{apiMessage},{apiMessage},{apiMessage},{apiMessage},dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.email.used.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.event.longer.that.24.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.field.outside.of.frame.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.invalid.password.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.not.enough.credits.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.not.part.of.company.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.session.in.past.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.time.not.available.message,,{apiMessage},,,,dict.error.already.existing.message|dict.error.email.used.message|dict.error.event.longer.that.24.message|dict.error.field.outside.of.frame.message|dict.error.invalid.password.message|dict.error.not.enough.credits.message|dict.error.not.part.of.company.message|dict.error.session.in.past.message|dict.error.time.not.available.message,,,{apiMessage},,,,
dict.error.form.already.submitted.message,,The form has already been submitted,Formulář již byl odeslán,Le formulaire a déjà été soumis,Das Formular wurde bereits abgesendet,dict.error.form.already.submitted.message,,,The form has already been submitted,,,,
dict.feedback-questions-categories.consider-other-team-members,,Consider other team members,Zvažte další členy týmu,Considérez les autres membres de l'équipe,Berücksichtigen Sie andere Teammitglieder,dict.feedback-questions-categories.consider-other-team-members,,,Consider other team members,,,,
dict.feedback-questions-categories.interpersonal,,Interpersonal,Mezilidské vztahy,Interpersonnel,Zwischenmenschlich,dict.feedback-questions-categories.interpersonal,,,Interpersonal,,,,
dict.feedback-questions-categories.organizational,,Organizational,Organizační,Organisationnel,Organisatorisch,dict.feedback-questions-categories.organizational,,,Organizational,,,,
dict.feedback-questions-categories.problemsolving,,Problemsolving,Řešení problémů,Résolution de problèmes,Problemlösung,dict.feedback-questions-categories.problemsolving,,,Problemsolving,,,,
dict.feedback.question.interpersonal.manage-the-emotions.label,,Does the employee manage the emotions and keep them in check?,Zvládá zaměstnanec emoce a udržuje je pod kontrolou?,L'employé gère-t-il les émotions et les garde-t-il sous contrôle ?,Verwaltet der Mitarbeiter die Emotionen und behält sie im Griff?,dict.feedback.question.interpersonal.manage-the-emotions.label,,,Does the employee manage the emotions and keep them in check?,,,,
dict.user_status.authorized.label,,Authorized,Ověřený,Autorisé,Autorisiert,dict.user_status.authorized.label,,,Authorized,,,,
dict.user_status.paid.label,,Paid,Zaplaceno,Payé,Bezahlt,dict.user_status.paid.label,,,Paid,,,,
dict.user_status.pending.label,,Pending,Čeká,En attente,Ausstehend,dict.user_status.pending.label,,,Pending,,,,
dict.validation.validDate,,Invalid date,Neplatné datum,Date invalide,Ungültiges Datum,dict.validation.invalidDate|dict.validation.validDate,,,Invalid date,,,,
dict.validation.invalidDate,,Invalid date,Neplatné datum,Date invalide,Ungültiges Datum,dict.validation.invalidDate|dict.validation.validDate,,,Invalid date,,,,
dict.validation.invalidTime,,Invalid time,Neplatný čas,Heure invalide,Ungültige Zeit,dict.validation.invalidTime,,,Invalid time,,,,
dict.validation.notBlank,,Cannot be blank,Nesmí být prázdné,Ne peut pas être vide,Darf nicht leer sein,dict.validation.notBlank,,,Cannot be blank,,,,
dict.validation.todayOrFuture,,Must be in the future,Musí být v budoucnosti,Doit être dans le futur,Muss in der Zukunft liegen,dict.validation.todayOrFuture,,,Must be in the future,,,,
feedback.create.add-question,,Add question,Přidat otázku,Ajouter une question,Frage hinzufügen,feedback.create.add-question,,,Add question,,,,
feedback.create.next-btn,,Share form,Sdílet formulář,Partager le formulaire,Formular teilen,feedback.create.next-btn,,,Share form,,,,
feedback.create.share-modal.add-email,,Add email,Přidat e-mail,Ajouter un e-mail,E-Mail hinzufügen,feedback.create.share-modal.add-email|feedback.results.add-email,,,Add email,,,,
feedback.create.share-modal.deadline,,Response deadline,Termín pro odpověď,Date limite de réponse,Antwortfrist,feedback.create.share-modal.deadline,,,Response deadline,,,,
feedback.create.share-modal.share,,Share,Sdílet,Partager,Teilen,feedback.create.share-modal.share,,,Share,,,,
feedback.external.deadline,,Please answer until {date},"Prosím, odpovězte do {date}",Veuillez répondre avant {date},Bitte antworten Sie bis {date},feedback.external.deadline,,,Please answer until {date},,,,
feedback.external.finished-modal.desc,,If you would like to explore more of the TopLeader platform you can request the access,"Pokud byste chtěli prozkoumat více platformu TopLeader, můžete požádat o přístup","Si vous souhaitez explorer davantage la plateforme TopLeader, vous pouvez demander l'accès","Wenn Sie die TopLeader-Plattform weiter erkunden möchten, können Sie den Zugang beantragen",feedback.external.finished-modal.desc,,,If you would like to explore more of the TopLeader platform you can request the access,,,,
feedback.external.finished-modal.request-access.yes,,Request access,Požádat o přístup,Demande d'accès,Zugang beantragen,feedback.external.finished-modal.request-access.yes|feedback.external.request-access-modal.request|feedback.external.request-access-modal.title,,,Request access,,,,
feedback.external.finished-modal.title,,Thank you for providing your valuable feedback on {user}!,Děkujeme za poskytnutí vaší cenné zpětné vazby k {user}!,Merci d'avoir fourni vos précieux commentaires sur {user} !,Vielen Dank für Ihr,,Performed,Found,Thank you for providing your valuable feedback on {user}!,Thank you for providing your valuable feedback on {user}!!,0.9896907216494846,feedback.external.finished-modal.title,
feedback.external.request-access-modal.fields.company,,Company (optional),Firma (volitelné),Société (facultatif),Unternehmen (optional),feedback.external.request-access-modal.fields.company,,,Company (optional),,,,
feedback.external.request-access-modal.fields.hrEmail,,HR (optional),Personální oddělení (volitelné),RH (facultatif),HR (optional),feedback.external.request-access-modal.fields.hrEmail,,,HR (optional),,,,
feedback.external.request-access-modal.fields.lastName,,Surname,Příjmení,Nom,Nachname,feedback.external.request-access-modal.fields.lastName|settings.admin.member.modal.fields.lastName|team.credit.add-member.fields.lastName,,,Surname,,,,
feedback.external.request-access-modal.request,,Request access,Žádost o přístup,Demande d'accès,Zugriff anfordern,feedback.external.finished-modal.request-access.yes|feedback.external.request-access-modal.request|feedback.external.request-access-modal.title,,,Request access,,,,
feedback.external.request-access-modal.title,,Request access,Žádost o přístup,Demande d'accès,Zugriff anfordern,feedback.external.finished-modal.request-access.yes|feedback.external.request-access-modal.request|feedback.external.request-access-modal.title,,,Request access,,,,
feedback.external.submit,,Submit form,Odeslat formulář,Soumettre le formulaire,Formular abschicken,feedback.external.submit,,,Submit form,,,,
feedback.list.card.created-at,,Created at {createdAt},Vytvořeno dne {createdAt},Créé le {createdAt},Erstellt am {createdAt},feedback.list.card.created-at,,,Created at {createdAt},,,,
feedback.list.card.responses-count,,{responsesCount} responses,{responsesCount} odpovědí,{responsesCount} réponses,{responsesCount} Antworten,feedback.list.card.responses-count,,,{responsesCount} responses,,,,
feedback.list.card.shared-count,,Shared with {sharedCount} people,Sdíleno s {sharedCount} lidmi,Partagé avec {sharedCount} personnes,Geteilt mit {sharedCount} Personen,feedback.list.card.shared-count,,,Shared with {sharedCount} people,,,,
feedback.list.empty.create-btn,,Create new form,Vytvořit nový formulář,Créer un nouveau formulaire,Neues Formular erstellen,feedback.list.empty.create-btn,,,Create new form,,,,
feedback.list.empty.description,,Start by creating a new one,"Začněte tím, že vytvoříte nový",Commencez par en créer un nouveau,Beginnen Sie mit der Erstellung,feedback.list.empty.description,,,Start by creating a new one,,,,
feedback.list.empty.title,,There are no feedback forms yet,Zatím nejsou žádné formuláře,Il n'y a pas encore de formulaires,Es gibt noch keine Feedback-Formulare,feedback.list.empty.title,,,There are no feedback forms yet,,,,
feedback.list.heading,,Get Feedback,Získat zpětnou vazbu,Obtenir des commentaires,Feedback erhalten,feedback.list.heading,,,Get Feedback,,,,
general.copy,,Copy,Kopírovat,Copier,Kopieren,general.copy,,,Copy,,,,
general.delete,,Delete,Smazat,Supprimer,Löschen,general.delete,,,Delete,,,,
general.edit,,Edit,Upravit,Modifier,Bearbeiten,general.edit|settings.admin.table.edit.tooltip,,,Edit,,,,
general.message-from,,Message from {from},Zpráva od {from},Message de {from},Nachricht von {from},general.message-from,,,Message from {from},,,,
general.new-message-from,,New message from {from},Nová zpráva od {from},Nouveau message de {from},Neue Nachricht von {from},general.new-message-from,,,New message from {from},,,,
main-menu.items.clients,,Clients,Klienti,Clients,Kunden,clients.heading|clients.title|main-menu.items.clients,,,Clients,,,,
main-menu.items.messages,,Messages,Zprávy,Messages,Nachrichten,main-menu.items.messages|messages.heading,,,Messages,,,,
messages.aside.pick-coach,,Pick the coach,Vybrat kouče,Choisir le coach,Trainer auswählen,messages.aside.pick-coach,,,Pick the coach,,,,
messages.conversation.message.placeholder,,Type you message...,Napište svou zprávu...,Tapez votre message...,Geben Sie Ihre Nachricht ein...,messages.conversation.message.placeholder,,,Type you message...,,,,
messages.empty.create-btn,,Choose the coach,Vyberte kouče,Choisissez le coach,Wählen Sie den Trainer aus,messages.empty.create-btn,,,Choose the coach,,,,
messages.empty.description,,Messages will appear here once a conversation with a coach begins.,"Zprávy se objeví zde, až začnete...",Les messages apparaîtront ici une fois...,"Nachrichten werden hier erscheinen, sobald...",messages.empty.description,,,Messages will appear here once a conversation with a coach begins.,,,,
messages.empty.title,,There are no messages yet,Zatím nejsou žádné zprávy,Il n'y a pas encore de messages,Es gibt noch keine Nachrichten,messages.empty.title,,,There are no messages yet,,,,
messages.heading,,Messages,Zprávy,Messages,Nachrichten,main-menu.items.messages|messages.heading,,,Messages,,,,
session.step-card.step,,Step {current}/{total},Krok {current}/{total},Étape {current}/{total},Schritt {current}/{total},session.step-card.step,,,Step {current}/{total},,,,
sessions.edit.steps.align.adjust,,"No, I would like to adjust","Ne, rád bych upravil","Non, je voudrais ajuster","Nein, ich möchte anpassen",sessions.edit.steps.align.adjust,,,"No, I would like to adjust",,,,
sessions.edit.steps.reflect.mark-all-as-completed,,Mark all as completed,Označit vše jako dokončeno,Marquer tous comme terminés,Alle als abgeschlossen markieren,sessions.edit.steps.reflect.mark-all-as-completed,,,Mark all as completed,,,,
settings.admin.member.modal.desc,,"To add a new member, enter the required information below.",Pro přidání nového člena zadejte níže potřebné údaje.,"Pour ajouter un nouveau membre, saisissez les informations requises ci-dessous.","Um ein neues Mitglied hinzuzufügen, geben Sie die erforderlichen Informationen unten ein.",,Performed,Found,"To add a new member, enter the required information below.",Are you still aligned with your area for development and the long term goal?,0.36363636363636365,sessions.edit.steps.align.heading,
settings.admin.member.modal.desc.edit,,"To add a new member, enter the required information below.",Pro přidání nového člena zadejte níže potřebné údaje.,"Pour ajouter un nouveau membre, saisissez les informations requises ci-dessous.","Um ein neues Mitglied hinzuzufügen, geben Sie die erforderlichen Informationen unten ein.",,Performed,Found,"To add a new member, enter the required information below.",Are you still aligned with your area for development and the long term goal?,0.36363636363636365,sessions.edit.steps.align.heading,
settings.admin.member.modal.fields.authorities,,Roles,Role,Rôles,Rollen,settings.admin.member.modal.fields.authorities,,,Roles,,,,
settings.admin.member.modal.fields.coach,,Current coach,Současný kouč,Coach actuel,Aktueller Trainer,settings.admin.member.modal.fields.coach,,,Current coach,,,,
settings.admin.member.modal.fields.credit,,Credit,Kredit,Crédit,Guthaben,settings.admin.member.modal.fields.credit,,,Credit,,,,
settings.admin.member.modal.fields.lastName,,Surname,Příjmení,Nom,Nachname,feedback.external.request-access-modal.fields.lastName|settings.admin.member.modal.fields.lastName|team.credit.add-member.fields.lastName,,,Surname,,,,
settings.admin.member.modal.fields.locale,,Select languages,Vyberte jazyky,Sélectionnez les langues,Wählen Sie Sprachen aus,settings.admin.member.modal.fields.locale|team.credit.add-member.fields.locale,,,Select languages,,,,
settings.admin.member.modal.fields.status,,Status,Stav,Statut,Status,settings.admin.member.modal.fields.status|settings.admin.table.col.status,,,Status,,,,
settings.admin.member.modal.title,,Add new member,Přidat nového člena,Ajouter un nouveau membre,Neues Mitglied hinzufügen,clients.add-client.modal.title|settings.admin.member.modal.title|team.credit.add-member.modal.title,,,Add new member,,,,
settings.admin.member.modal.title.edit,,Edit member,Upravit člena,Modifier le membre,Mitglied bearbeiten,settings.admin.member.modal.title.edit|team.credit.edit-member.modal.title,,,Edit member,,,,
settings.admin.member.submit.new,,Send invite,Poslat pozvánku,Envoyer une invitation,Einladung senden,clients.add-client.submit|settings.admin.member.submit.new|team.credit.add-member.submit,,,Send invite,,,,
settings.admin.member.trial,,Trial user,Zkušební uživatel,Utilisateur d'essai,Testbenutzer,clients.add-client.fields.isTrial|settings.admin.member.trial|team.credit.add-member.fields.trial-user,,,Trial user,,,,
settings.admin.sub,,Here you can see the list of your current clients,Zde můžete vidět seznam vašich aktuálních klientů,"Ici, vous pouvez voir la liste de vos clients actuels",Hier sehen Sie die Liste Ihrer aktuellen Kunden,clients.sub|settings.admin.sub,,,Here you can see the list of your current clients,,,,
settings.admin.table.col.coach,,Current Coach,Současný kouč,Coach actuel,Aktueller Trainer,settings.admin.table.col.coach,,,Current Coach,,,,
settings.admin.table.col.companyName,,Company,Firma,Société,Unternehmen,settings.admin.member.modal.fields.companyId|settings.admin.table.col.companyName|settings.user-profile.field.company,,,Company,,,,
settings.admin.table.col.hrs,,HR,Personální oddělení,RH,HR,settings.admin.table.col.hrs,,,HR,,,,
settings.admin.table.col.requestedBy,,Requested by,Požadováno u,Demandé par,Angefordert von,settings.admin.table.col.requestedBy,,,Requested by,,,,
settings.admin.table.col.requestedCredits,,Requested credits,Požadované kredity,Crédits demandés,Angeforderte Credits,settings.admin.table.col.requestedCredits|team.members.table.col.requested,,,Requested credits,,,,
settings.admin.table.col.role,,Role,Role,Rôle,Rolle,feedback.create.share-modal.role.placeholder|settings.admin.table.col.role,,,Role,,,,
settings.admin.table.col.status,,Status,Stav,Statut,Status,settings.admin.member.modal.fields.status|settings.admin.table.col.status,,,Status,,,,
settings.admin.table.col.sumRequestedCredit,,All credits,Všechny kredity,Tous les crédits,Alle Credits,settings.admin.table.col.sumRequestedCredit,,,All credits,,,,
settings.admin.table.confirm-credit-button.label,,Confirm,Potvrdit,Confirmer,Bestätigen,settings.admin.table.confirm-credit-button.label,,,Confirm,,,,
settings.admin.table.edit.tooltip,,Edit,Upravit,Modifier,Bearbeiten,general.edit|settings.admin.table.edit.tooltip,,,Edit,,,,
settings.admin.title,,Users,Uživatelé,Utilisateurs,Benutzer,settings.admin.title,,,Users,,,,
settings.admin.title.count.badge,,{count} Users,{count} uživatelů,{count} utilisateurs,{count} Benutzer,settings.admin.title.count.badge,,,{count} Users,,,,
settings.general.field.newPasswordConfirm.error-match,,Password confirm must match,Potvrzení hesla musí odpovídat,La confirmation du mot de passe doit correspondre,Das Passwort muss übereinstimmen,settings.general.field.newPasswordConfirm.error-match,,,Password confirm must match,,,,
settings.profile.field.certificates.placeholder,,Enter certificate,Zadejte certifikát,Entrez le certificat,Zertifikat eingeben,settings.profile.field.certificates.placeholder,,,Enter certificate,,,,
settings.profile.field.fields.placeholder,,Select fields you work in,"Vyberte pole, ve kterém pracujete",Sélectionnez les champs que vous utilisez,"Wählen Sie die Felder aus, in denen Sie arbeiten",settings.profile.field.fields.placeholder,,,Select fields you work in,,,,
settings.profile.field.languages.placeholder,,Select languages you speak,"Vyberte jazyky, které mluvíte",Sélectionnez les langues que vous parlez,"Wählen Sie die Sprachen, die Sie sprechen",settings.profile.field.languages.placeholder,,,Select languages you speak,,,,
settings.profile.field.level,,Level,Úroveň,Niveau,Stufe,settings.profile.field.level,,,Level,,,,
settings.profile.field.publicProfile,,Public account,Veřejný účet,Compte public,Öffentliches Konto,settings.profile.field.publicProfile,,,Public account,,,,
settings.profile.field.rate,,Rate,Hodnocení,Taux,Rate,coaches.coach.rate|coaches.filter.rate.label|settings.profile.field.rate,,,Rate,,,,
settings.profile.field.webLink,,Video introduction,Video úvod,Introduction vidéo,Videovorstellung,settings.profile.field.webLink,,,Video introduction,,,,
settings.profile.field.webLink.placeholder,,https://,https://,https://,https://,settings.profile.field.linkedinProfile.placeholder|settings.profile.field.webLink.placeholder,,,https://,,,,
settings.profile.field.linkedinProfile,,Linkedin Profile,Profil na LinkedIn,Profil Linkedin,LinkedIn-Profil,,Performed,Found,Linkedin Profile,LinkedIn profile,0.7142857142857143,settings.profile.field.linkedinProfile,
settings.profile.field.webLink.placeholder,,https://,https://,https://,https://,settings.profile.field.linkedinProfile.placeholder|settings.profile.field.webLink.placeholder,,,https://,,,,
settings.tabs.admin.label,,Admin,Správce,Administrateur,Administrator,settings.tabs.admin.label,,,Admin,,,,
team.credit.add-member.fields.authorities,,Authorities,Pravomoci,Autorités,Behörden,team.credit.add-member.fields.authorities,,,Authorities,,,,
team.credit.add-member.fields.lastName,,Surname,Příjmení,Nom de famille,Nachname,feedback.external.request-access-modal.fields.lastName|settings.admin.member.modal.fields.lastName|team.credit.add-member.fields.lastName,,,Surname,,,,
team.credit.add-member.fields.locale,,Select languages,Vybrat jazyky,Sélectionner les langues,Sprachen auswählen,settings.admin.member.modal.fields.locale|team.credit.add-member.fields.locale,,,Select languages,,,,
team.credit.add-member.fields.trial-user,,Trial user,Zkušební uživatel,Utilisateur d'essai,Testbenutzer,clients.add-client.fields.isTrial|settings.admin.member.trial|team.credit.add-member.fields.trial-user,,,Trial user,,,,
team.credit.add-member.modal.desc,,"To add a new member, enter the required information below.",Pro přidání nového člena zadejte níže potřebné údaje.,"Pour ajouter un nouveau membre, saisissez les informations requises ci-dessous.","Um ein neues Mitglied hinzuzufügen, geben Sie die erforderlichen Informationen unten ein.",,Performed,Found,"To add a new member, enter the required information below.",Are you still aligned with your area for development and the long term goal?,0.36363636363636365,sessions.edit.steps.align.heading,
team.credit.add-member.modal.title,,Add new member,Přidat nového člena,Ajouter un nouveau membre,Neues Mitglied hinzufügen,clients.add-client.modal.title|settings.admin.member.modal.title|team.credit.add-member.modal.title,,,Add new member,,,,
team.credit.add-member.submit,,Send invite,Odeslat pozvánku,Envoyer une invitation,Einladung senden,clients.add-client.submit|settings.admin.member.submit.new|team.credit.add-member.submit,,,Send invite,,,,
team.credit.edit-member.modal.title,,Edit member,Upravit člena,Modifier le membre,Mitglied bearbeiten,settings.admin.member.modal.title.edit|team.credit.edit-member.modal.title,,,Edit member,,,,
team.credit.topup-modal.amount.label,,Amount of credits (1 credit = 1$),Množství kreditů (1 kredit = 1$),Montant de crédits (1 crédit = 1 $),Menge an Credits (1 Credit = 1 $),team.credit.topup-modal.amount.label,,,Amount of credits (1 credit = 1$),,,,
team.members.table.col.requested,,Requested credits,Požadované kredity,Crédits demandés,Angeforderte Credits,settings.admin.table.col.requestedCredits|team.members.table.col.requested,,,Requested credits,,,,
team.members.table.col.scheduled,,Scheduled credits,Naplánované kredity,Crédits planifiés,Geplante Credits,team.members.table.col.scheduled,,,Scheduled credits,,,,
auth.set-password.submit,,Set password,Nastavit heslo,Définir le mot de passe,Passwort setzen,auth.set-password.submit,,,Set password,,,,
clients.add-client.fields.locale,,Select language,Vybrat jazyk,Sélectionner la langue,Sprache auswählen,clients.add-client.fields.locale,,,Select language,,,,
feedback.create.description.placeholder,,Description (optional),Popis (volitelný),Description (facultatif),Beschreibung (optional),feedback.create.description.placeholder,,,Description (optional),,,,
feedback.create.share-modal.desc,,Set email addresses of people who you want to share the form with to provide you the feedback.,"Nastavte e -mailové adresy lidí, s nimiž chcete formulář sdílet, aby Vám poskytli zpětnou vazbu.",Définissez les adresses e-mail des personnes avec lesquelles vous souhaitez partager le formulaire afin d'obtenir des retours.,"Legen Sie die E-Mail-Adressen der Personen fest, denen Sie das Formular zur Verfügung stellen möchten, um Ihnen Rückmeldungen zu geben.",,Performed,Found,Set email addresses of people who you want to share the form with to provide you the feedback.,Set email addresses and positions of people who you want to share the form with to provide you the feedback.,0.926829268292683,feedback.create.share-modal.desc,
feedback.create.title.error.exists,,Title already exists,Název již existuje,Le titre existe déjà,Titel existiert bereits,feedback.create.title.error.exists,,,Title already exists,,,,
feedback.external.answer-placeholder,,Type your answer here,Sem napište svou odpověď,Tapez votre réponse ici,Geben Sie hier Ihre Antwort ein,feedback.external.answer-placeholder,,,Type your answer here,,,,
feedback.respondents,,Respondents,Respondenti,Répondants,Befragte,feedback.respondents,,,Respondents,,,,
feedback.results.add,,Add,Přidat,Ajouter,Hinzufügen,feedback.results.add,,,Add,,,,
feedback.results.no-answers,,No answers yet.,Zatím žádné odpovědi,Pas encore de réponses,Noch keine Antworten,feedback.results.no-answers,,,No answers yet.,,,,
feedback.results.question-answers-stats,,{answersCount} of {recipientsCount} people answered,Odpovědělo {answersCount} z {recipientsCount} lidí,{answersCount} sur {recipientsCount} personnes ont répondu,{answersCount} von {recipientsCount} Personen haben geantwortet,feedback.results.question-answers-stats,,,{answersCount} of {recipientsCount} people answered,,,,
feedback.results.shared-with,,Shared with,Sdíleno s,Partagé avec,Geteilt mit,feedback.results.shared-with,,,Shared with,,,,
feedback.submitted,,Submitted,Odpovědělo,Soumis,Eingereicht,feedback.submitted,,,Submitted,,,,
general.decline,,Decline,Zamítnout,Refuser,Ablehnen,general.decline,,,Decline,,,,
general.freeSolo.placeholder,,Type your own and hit enter or select from the list,Napište svůj vlastní text a stiskněte Enter nebo vyberte ze seznamu,Tapez votre propre texte et appuyez sur Entrée ou sélectionnez dans la liste,Geben Sie Ihren eigenen Text ein und drücken Sie Enter oder wählen Sie aus der Liste aus,general.freeSolo.placeholder,,,Type your own and hit enter or select from the list,,,,
general.select.placeholder,,Select from the list,Vyberte ze seznamu,Sélectionnez dans la liste,Wählen Sie aus der Liste aus,general.select.placeholder,,,Select from the list,,,,
help.back-to-dashboard,,Back to Dashboard,Zpět na Přehled,Retour au Tableau de bord,Zurück zur Übersicht,,Performed,Found,Back to Dashboard,Back to dashboard,0.8571428571428571,"google.back-to-dashboard,help.back-to-dashboard",
help.description,,"If you need help, please email us at {emailLink}","Pokud potřebujete pomoc, napište nám na {emailLink}","Si vous avez besoin d'aide, envoyez-nous un e-mail à {emailLink}","Wenn Sie Hilfe benötigen, senden Sie uns bitte eine E-Mail an {emailLink}",help.description,,,"If you need help, please email us at {emailLink}",,,,
help.title,,Get help,Získejte pomoc,Obtenez de l'aide,Holen Sie sich Hilfe,help.title,,,Get help,,,,
